location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Schildergasse (West), Köln;2018-05-12 10:00:00 +0200;Saturday;4588;19;clear-day;
Schildergasse (West), Köln;2018-05-12 11:00:00 +0200;Saturday;7676;21;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-12 12:00:00 +0200;Saturday;10270;22;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-12 13:00:00 +0200;Saturday;11479;23;clear-day;
Schildergasse (West), Köln;2018-05-12 14:00:00 +0200;Saturday;12409;24;clear-day;
Schildergasse (West), Köln;2018-05-12 15:00:00 +0200;Saturday;12871;24;clear-day;
Schildergasse (West), Köln;2018-05-12 16:00:00 +0200;Saturday;12638;24;clear-day;
Schildergasse (West), Köln;2018-05-12 17:00:00 +0200;Saturday;11849;24;clear-day;
Schildergasse (West), Köln;2018-05-12 18:00:00 +0200;Saturday;10143;24;clear-day;
Schildergasse (West), Köln;2018-05-12 19:00:00 +0200;Saturday;7922;24;clear-day;
